0.000000	0.000000
-0.011955	0.007813
-0.023501	0.015625
-0.034704	0.023438
-0.045623	0.031250
-0.056312	0.039063
-0.066825	0.046875
-0.077209	0.054688
-0.087511	0.062500
-0.097772	0.070313
-0.108031	0.078125
-0.118319	0.085938
-0.128664	0.093750
-0.139085	0.101563
-0.149593	0.109375
-0.160193	0.117188
-0.170877	0.125000
-0.181630	0.132813
-0.192427	0.140625
-0.203231	0.148438
-0.213999	0.156250
-0.224676	0.164063
-0.235201	0.171875
-0.245507	0.179688
-0.255518	0.187500
-0.265157	0.195313
-0.274344	0.203125
-0.282998	0.210938
-0.291040	0.218750
-0.298392	0.226563
-0.304984	0.234375
-0.310749	0.242188
-0.315630	0.250000
-0.319581	0.257813
-0.322565	0.265625
-0.324556	0.273438
-0.325542	0.281250
-0.325522	0.289063
-0.324509	0.296875
-0.322526	0.304688
-0.319608	0.312500
-0.315799	0.320313
-0.311152	0.328125
-0.305728	0.335938
-0.299592	0.343750
-0.292813	0.351563
-0.285462	0.359375
-0.277610	0.367188
-0.269328	0.375000
-0.260683	0.382813
-0.251741	0.390625
-0.242560	0.398438
-0.233196	0.406250
-0.223698	0.414063
-0.214109	0.421875
-0.204466	0.429688
-0.194800	0.437500
-0.185138	0.445313
-0.175498	0.453125
-0.165897	0.460938
-0.156346	0.468750
-0.146850	0.476563
-0.137413	0.484375
-0.128035	0.492188
-0.118715	0.500000
-0.109447	0.507813
-0.100227	0.515625
-0.091046	0.523438
-0.081899	0.531250
-0.072775	0.539063
-0.063668	0.546875
-0.054569	0.554688
-0.045470	0.562500
-0.036363	0.570313
-0.027242	0.578125
-0.018100	0.585938
-0.008932	0.593750
0.000267	0.601563
0.009501	0.609375
0.018773	0.617188
0.028085	0.625000
0.037437	0.632813
0.046830	0.640625
0.056262	0.648438
0.065732	0.656250
0.075236	0.664063
0.084771	0.671875
0.094330	0.679688
0.103907	0.687500
0.113496	0.695313
0.123088	0.703125
0.132673	0.710938
0.142241	0.718750
0.151781	0.726563
0.161280	0.734375
0.170726	0.742188
0.180104	0.750000
0.189401	0.757813
0.198600	0.765625
0.207688	0.773438
0.216648	0.781250
0.225467	0.789063
0.234132	0.796875
0.242632	0.804688
0.250960	0.812500
0.259116	0.820313
0.267109	0.828125
0.274962	0.835938
0.282719	0.843750
0.290453	0.851563
0.298276	0.859375
0.306354	0.867188
0.314925	0.875000
0.324316	0.882813
0.334960	0.890625
0.347419	0.898438
0.362393	0.906250
0.380724	0.914063
0.403379	0.921875
0.431412	0.929688
0.465896	0.937500
0.507811	0.945313
0.557905	0.953125
0.616520	0.960938
0.683395	0.968750
0.757500	0.976563
0.836926	0.984375
0.918898	0.992188
1.000000	1.000000
